"Timestamp","User","Stage","Action","Result","PerformedBy"
"2026-08-04T21:24:52.2770235-04:00","testjoiner1@yourtenant.onmicrosoft.com","Joiner","CreateUser","Success","micha"
"2026-08-04T21:24:52.3134257-04:00","testjoiner1@yourtenant.onmicrosoft.com","Joiner","CreateUser","Failed: The term 'Get-MgUser' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","micha"
"2026-08-04T21:27:25.4618110-04:00","testjoiner1@yourtenant.onmicrosoft.com","Joiner","CreateUser","Success","micha"
"2026-08-04T21:27:25.4918088-04:00","testjoiner1@yourtenant.onmicrosoft.com","Joiner","CreateUser","Failed: The term 'Get-MgUser' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","micha"
"2026-08-04T21:28:27.9587612-04:00","testjoiner1@yourtenant.onmicrosoft.com","Joiner","CreateUser","Success","micha"
"2026-08-04T21:28:28.0027734-04:00","testjoiner1@yourtenant.onmicrosoft.com","Joiner","CreateUser","Failed: The term 'Get-MgUser' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","micha"
"2026-08-04T21:28:42.6299252-04:00","michaelkingjr12@outlook.com","Joiner","CreateUser","Success","micha"
"2026-08-04T21:28:42.6598230-04:00","michaelkingjr12@outlook.com","Joiner","CreateUser","Failed: The term 'Get-MgUser' is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","micha"
"2026-08-04T21:34:40.4018455-04:00","michaelkingjr12@outlook.com","Joiner","CreateUser","Success","micha"
"2026-08-04T21:34:40.7089491-04:00","michaelkingjr12@outlook.com","Joiner","SetManager:MichaelKing@GovBec.onmicrosoft.com","DryRun","micha"
"2026-08-04T21:34:40.7109512-04:00","michaelkingjr12@outlook.com","Joiner","AssignLicense:84a661c4-e949-4bd2-a560-ed7766fcaf2b","DryRun","micha"
"2026-08-04T21:41:05.8130293-04:00","testjoiner1@yourtenant.onmicrosoft.com","Joiner","CreateUser","DryRun","micha"
"2026-08-04T21:41:06.0111021-04:00","testjoiner1@yourtenant.onmicrosoft.com","Joiner","SetManager:manager@yourtenant.onmicrosoft.com","DryRun","micha"
"2026-08-04T21:42:04.2373640-04:00","testjoiner1@yourtenant.onmicrosoft.com","Joiner","CreateUser","DryRun","micha"
"2026-08-04T21:42:04.4421473-04:00","testjoiner1@yourtenant.onmicrosoft.com","Joiner","SetManager:manager@yourtenant.onmicrosoft.com","DryRun","micha"
"2026-08-04T21:44:04.0302786-04:00","testjoiner1@GovBec.onmicrosoft.com","Joiner","CreateUser","DryRun","micha"
"2026-08-04T21:44:04.3006621-04:00","testjoiner1@GovBec.onmicrosoft.com","Joiner","SetManager:MichaelKing@GovBec.onmicrosoft.com","DryRun","micha"
"2026-08-04T21:44:22.1650825-04:00","testjoiner1@GovBec.onmicrosoft.com","Joiner","CreateUser","Success","micha"
"2026-08-04T21:44:22.5907087-04:00","testjoiner1@GovBec.onmicrosoft.com","Joiner","SetManager:MichaelKing@GovBec.onmicrosoft.com","Success","micha"
"2026-08-04T21:48:16.9272416-04:00","testjoiner1@GovBec.onmicrosoft.com","Mover","UpdateAttributes:Department,JobTitle","DryRun","micha"
"2026-08-04T21:48:17.0354385-04:00","testjoiner1@GovBec.onmicrosoft.com","Mover","SetManager:MichaelKing@GovBec.onmicrosoft.com","DryRun","micha"
"2026-08-04T21:48:33.3728101-04:00","testjoiner1@GovBec.onmicrosoft.com","Mover","UpdateAttributes:Department,JobTitle","Success","micha"
"2026-08-04T21:48:33.7765947-04:00","testjoiner1@GovBec.onmicrosoft.com","Mover","SetManager:MichaelKing@GovBec.onmicrosoft.com","Success","micha"
"2026-08-04T21:49:37.7352939-04:00","testjoiner1@GovBec.onmicrosoft.com","Leaver","DisableAccount","DryRun","micha"
"2026-08-04T21:49:37.7363170-04:00","testjoiner1@GovBec.onmicrosoft.com","Leaver","RevokeSessions","DryRun","micha"
"2026-08-04T21:49:37.7540329-04:00","testjoiner1@GovBec.onmicrosoft.com","Leaver","RemoveLicenses:","DryRun","micha"
"2026-08-04T21:49:37.9284239-04:00","testjoiner1@GovBec.onmicrosoft.com","Leaver","RemovedFromAllGroups:0","DryRun","micha"
"2026-08-04T21:49:37.9304256-04:00","testjoiner1@GovBec.onmicrosoft.com","Leaver","AddedToLeaversAuditGroup","DryRun","micha"
"2026-08-04T21:49:37.9404958-04:00","testjoiner1@GovBec.onmicrosoft.com","Leaver","StampTerminationDate:2026-08-04","DryRun","micha"
"2026-08-04T21:51:23.0787379-04:00","testjoiner1@GovBec.onmicrosoft.com","Leaver","DisableAccount","Success","micha"
"2026-08-04T21:51:23.4527529-04:00","testjoiner1@GovBec.onmicrosoft.com","Leaver","RevokeSessions","Success","micha"
"2026-08-04T21:51:23.4548614-04:00","testjoiner1@GovBec.onmicrosoft.com","Leaver","RemoveLicenses:","Success","micha"
"2026-08-04T21:51:23.5969352-04:00","testjoiner1@GovBec.onmicrosoft.com","Leaver","RemovedFromAllGroups:0","Success","micha"
"2026-08-04T21:51:23.5979342-04:00","testjoiner1@GovBec.onmicrosoft.com","Leaver","AddedToLeaversAuditGroup","Success","micha"
"2026-08-04T21:51:23.8493111-04:00","testjoiner1@GovBec.onmicrosoft.com","Leaver","StampTerminationDate:2026-08-04","Success","micha"
